complexity_type,scientificness_orig,answer,complexity_level_orig,scientificness,complexity_level
explanation,3,is that fungus feeds the trees that DO Give us air and in that way it helps us have oxygen and air And that relates to how we breath out Carbondale and the trees need that to make air for us and  we keep the trees doing that process and the routine that helps us live So thats like we are trees to them because we give them their air and they give us our air by their air that we give them ,4,E-S,L-EE
fact,2,I think that fudges might give oxygen because it obsess trees by honor,2.5,E-BS,L-EF
fact,2,I think that fungus grows on living things yes because  thats how it starts out   ,1.5,E-BS,L-F
fact,1,I do not think so because Ive touch a tree that has fungus on it it did not come on to me ,2,E-H,L-EF
fact,2,fungus etch dead thing not grow on them,2,E-BS,L-EF
fact,1,fungi and fungus is piratically the same thing   because fungi etch what eve its on sow does fungus but mi us geeing,2,E-H,L-EF
fact,1,I think so to I ha seen mold on blue sees ,2,E-H,L-EF
fact,2,is that fungus mushrooms give trees minerals and the tree gives the fungi mushrooms sugar ,2.5,E-BS,L-EF
fact,1,how does fungi help the planet I think it helps the trees grow,1,E-H,L-F
fact,1, I think that it takes a week or more for fungi to spread I think that fungi spreads to eat and to get energy,1.5,E-H,L-F
fact,1.5, I think that fungus is basically mold because they look the same  there both the same ripe,1.5,E-H,L-F
fact,2,I think fungus is a related to mold  like there in the same family there in a family,1.5,E-BS,L-F
fact,2, I disagree fungi is related to mold they look the same and there in the same family,1.5,E-BS,L-F
fact,1,how does fungi help the planet I think it helps the trees grow,1,E-H,L-F
fact,1,I think that fungus is not contagious because vie held fungi for a minutes and nothing ha pend but I think it spreads,2,E-H,L-EF
fact,3,Beatles racy the spots to other places,1,E-S,L-F
fact,3,is once a fungus is made it  keeps  eating and it get bigger and  speeds ,1,E-S,L-F
fact,2.5,is that  fungus will grow  on living thing such as  a tree But I am not so sure about  non living  things,1.5,E-BS,L-F
fact,3, is fungus and mold are similar because  fungus will grow on living and nonliving things and mold will grow on nonliving and  some living things  such as  tree ,2,E-S,L-EF
fact,4, Why mold changes  color as it ages   As it gets more air it changes color,1,E-S,L-F
fact,1,is stiff is right because  fungus  can sored from a little thing to a big thing,1,E-H,L-F
explanation,2,  I think that if fungi spreads too much then something will happen to the planet it will have to much fungi then it might share and spread with the mold then it maybe be covered with land and something might happen and since most fungi are very different from the others they might connect with the others then it with be bigger and bigger and it will be like a new kind of fungi because they join up together like a community,3,E-BS,L-E
fact,1, I think fungi can grow on you because if you get sick then it might grow on you but likely it wont grow on you,2,E-H,L-EF
fact,3, i think fungus grows like this it starts it starts with the sprout and gets bigger and bigger and forms into fungi,1.5,E-S,L-F
fact,1, what i think fungi is i think it is a kind of mold but a little different mold and not the same color,1.5,E-H,L-F
fact,2, i think that fungi does help the world because if we did not have fungi then the bugs and insects would not have shelter and food like cheese blue cheese is fungus,2,E-BS,L-EF
fact,2.5, i think fungi helps the world because if we didn't have fungi than we wouldn't have a lot of food,1.5,E-BS,L-F
fact,1,"If your lucky it may not grow on you
but if you have a tiny spot of fungi it can spread",1.5,E-H,L-F
fact,1,because fungi spread like animals But animals don't spread that will be Marseillaise but instead they walk ,1,E-H,L-F
fact,2,"yes well sometimes I think many if its really old
or if its a certain ripe but I no that it can grow on a bug",1,E-BS,L-F
fact,1,is Fungus dose not go on people it grows on stuff like a toy  food you know stuff well fungus grow on people because dead skin is fungus,1.5,E-H,L-F
fact,1.5,Where does fungus grow  is   you eat cheese and mushroom pizza the cheese is mold and mushrooms are fungi All cheeses might be fungus Its just    theory   My theory  is  fungus is a family with mold and moss Fungus can spread grow and add on to different things Like stale  bread Fungus like mold spreads over the top of the fungus Once me and my dad baked banana bread and I put oranges around the bread and after a few days the oranges grew fungus,2.5,E-H,L-EF
explanation,2,and know how fungi spreads along cool forests misty jungles soils and grounds I have a theory though Fungi eats and then it can spread faster because there is more room to sped   Every day fungi lieus for food so it can spread even more each day   Its like when fungi spreads its getting more power to spread any place it needs or has to spread to a new and different place to how Fungus has different kind of fungus like mushroom or mold   Why does fungus relate to mold And IS mushrooms   is that they may has a relation but Ill never understand why they are related I don't know why mushrooms are fungus And why mushrooms has spots too Most mushrooms are plain but purple red or whiter white or brown If there are different colors Id like to know,3,E-BS,L-E
fact,1,"I think that soil and fungi are related And that start mating Its Like making a new baby

   WY dews fungus grow on soil",2,E-H,L-EF
fact,1,I agree because if it did you wold suffocate,1.5,E-H,L-F
